Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
ACAP1	ELK2AP	CCL5	DCTPP1	MOK	ECSIT	MPP1	NRP1
ITGA4	LY9	JPX	MMP8	IFI35	AMD1	CSTA	TNS1
CCND2	ARHGAP15	LAIR1	ENTHD1	SGCE	FCGR2A	NAGK	TGFB1I1
TUBA4A	LAT2	NEK2	DPP7	HSPB1	ACOX2	DHRS3	LRRC32
HCP5	RPL23	MS4A10	TNFRSF14	CSRP1	AFAP1	LAP3	IFITM2
GZMM	RPS10	PDE4C	VAT1	FGFR1	CYTL1	HMOX1	FXYD6
AMICA1	RPL35A	LOC100506190	RIPK4	FXYD3	PDIA4	RNASET2	SPARC
MYO1G	PLCG2	AS3MT	FAM178B	LOC146481	TREM1	RNASE1	SPARCL1
ARHGAP30	TMEM154	PDE6A	LY6K	ACSL3	AHR	VAMP8	COL6A1
ICAM3	BIRC3	IRF1	MC1R	METTL7B	LOXL2	LILRA6	HSPB1
MAP4K1	RPS17L	SLFNL1-AS1	EXOSC4	SCCPDH	FST	CLEC10A	SFRP4
MSN	RPS17	IAPP	SERPINF1	SNX9	SPP1	ACSL1	FHL1
ALOX5AP	RPS28	LOC100506385	COX6B1	MT1E	PET100	LY86	TNFSF10
KLRC3	SMIM14	ORAI2	SNHG6	GPR56	SEMA3B	HLA-DPB1	FCGRT
CD69	RPL35	IL10	CYC1	MLANA	CSGALNACT1	MARCO	FLRT2
PTPN6	WDFY4	TSTD3	APOA1BP	CRELD1	APP	CAPG	STOM
HLA-F	ADAM19	MED18	ECHS1	LONP2	SRPX2	CD300C	TUBA1A
IDH2	RPS15A	KIF18B	SNHG16	TBC1D10A	GBE1	FPR2	CLEC14A
PSMB10	RPL4	RBMS2	CINP	ATRAID	OSMR	TLR4	ACTN1
CD53	RPLP1	TNFAIP8L2-SCNM1	ENOPH1	WSB1	SDC2	SIRPB1	AKR1C3
SLAMF7	SIGLEC14	LRRN4CL	FKBP11	SYNGR1	SMIM3	LAT2	LAMA4
ARID5A	RPL41	NXN	WARS	SDC3	ABCA6	LRRC25	GALNT18
RALGDS	RPS15	ZNF471	TRUB2	NEAT1	TNFRSF19	SRGN	STAB1
JAK3	SP140	TANGO2	MTHFD1	BIRC7	ATG16L1	FCGR1B	CYP1B1
VCAM1	FCRL5	LOC284379	C19orf48	CAV1	PTPRZ1	CXCL9	FKBP1A
GPRIN3	CLEC17A	C1orf174	SDCBP	ASAH1	ETFB	GBP1	TSPAN4
DEF6	EEF1A1	LOC283693	UGCG	NR4A1	PLTP	ITGAM	TAX1BP3
INPP4B	HLA-DOA	APOBEC3A	PGAM1	ATP6V1G1	SLC26A2	SLC1A3	PAM
EVL	RPS19	ZSWIM1	CECR5	UCN2	HPCAL1	AQP9	GPR116
LPXN	IGJ	LOC100129269	TBRG4	IFI6	NDFIP2	ICAM1	ERG
CD5	RPS2	C15orf40	NPL	KRT18	ITIH6	SIGLEC1	ADCY4
DNAJB1	CD180	MRI1	ADAM15	SHC4	PLOD2	MGAT1	COL5A2
WIPF1	EEF2	FKBP14	GARS	CREG1	KDELC1	CASP1	LAPTM4A
ANXA6	RPL31	LOC100287314	NUDT8	TMED10	MIA	CD74	SPHK1
UBASH3A	STK17B	TPMT	TTYH2	HSP90AA1	PCMTD2	PTAFR	CPXM1
CD52	GAS5	USP33	BPHL	EEA1	GALNT5	ATG3	DPT
ATHL1	RPS3	NOL9	NUP93	ALDH1A1	DNTTIP1	SAMSN1	HTRA1
LAPTM5	RPS7	CA5B	SRM	CPVL	SPON2	KYNU	PODXL
ARHGEF1	PDLIM1	PXMP4	LZTS1	ATP6V1E1	ITIH5	NAMPT	DPYSL2
KIAA1551	TPT1	CCDC74B-AS1	GRSF1	TSPAN3	CST3	SAMHD1	S1PR1
TNFRSF9	RPL38	SLC35E3	CAPG	SERINC1	FAM20C	CD33	LIMA1
CD48	PABPC1	CFLAR	LMNA	RTP4	HIBADH	APOC1	DBN1
PSMB8	SP110	HMGB3P1	STK32A	CREB3L2	AASDHPPT	GADD45B	IGFBP5
SH3BGRL3	RPL14	SPTLC1	VEPH1	GNPTG	KIAA1199	SIGLEC7	PRSS23
SPOCK2	CORO1A	LOC284454	IFRD2	SLC24A5	MAGEA6	ETS2	CNRIP1
PTGER4	RPL27	IRAK4	ZNF330	ERBB3	FARSA	IFNGR2	DDAH2
BIN2	CD24	SPN	PSMD8	TSPYL2	C6orf141	CYBA	NT5E
PSME2	CCR6	SMYD4	PYCR1	WBP2	ADM	CFP	TNFAIP1
