Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
SIPA1L2	RHPN1	CHMP3	ARID4B	TCEAL7	METTL2A	PARP11	PCDH11X
DDX56	KIAA0391	LOC91450	MAP2K6	SYNJ2	HTATSF1P2	KIAA1468	ASPM
CDH12	POLR1A	SNAR-A7	TRPC6	TSPAN2	HLA-A	IKZF2	FAM180B
PGBD1	SERAC1	LTF	CDC14A	C5orf34	ZCCHC6	SAYSD1	DNAJC5B
APLF	IFT80	PLA2R1	KCNA3	GAS1	GCH1	EHMT2	NXNL2
TCEAL4	NBL1	FMO9P	ZNF79	NUDCD2	NFATC1	TEFM	SLC35E1
LOC100131691	AGGF1	LOC285627	MFSD7	BDKRB1	KREMEN1	MAP9	LINC00439
FGF2	POGLUT1	PPP1R37	PLCXD2	ROCK1P1	ZNF503-AS2	ZNF224	SPIB
10-Sep	SNF8	FOXN3	PIK3CA	FAM21B	CLCC1	ATCAY	KIN
GOLGA6L10	ZNF503-AS1	SNORD18B	DIAPH1	PIAS2	CHP1	RAB26	SEMA4F
CAPN7	ATP1A1OS	TDRD5	MPHOSPH9	TECPR1	P2RY10	UBE4B	ZFP42
DNAH12	ACO2	CCDC178	BCL2L14	SBNO2	SWSAP1	WDPCP	IL17RD
ZBTB8OS	SPSB2	OR11L1	CT47A9	HOXA3	ARHGEF3	ZFP28	DNAJC27-AS1
GPR85	SMARCD1	CORO1C	IL18RAP	EBF3	CRYBB2P1	RUNDC1	RBM43
RRP1	XRCC6BP1	TEX12	SYNJ1	SNORA58	TBC1D24	SERP2	ALMS1
PRR16	TFG	CRLF2	GFRA2	FBXO18	LOC100133331	PPCS	TTC28-AS1
HSPG2	TNFRSF6B	PDZD3	ZNF391	HLA-DPB2	TRIM59	TMOD4	FLJ43681
YTHDF1	MTAP	MORN5	ZNF599	MPP7	ZYG11A	C1QL3	TADA2A
TBCA	PPP2R2A	OR5H2	CMIP	DDB2	PPID	FGFR1OP	CD82
ZNF639	AGAP1	DGCR9	ZNF205	MAST4	MFSD8	SOX8	SYMPK
CNNM2	ARHGEF40	RPS6KA2-IT1	PCDHB3	LURAP1	LOC100288198	GLI1	C4orf19
PODXL	C12orf73	LOC100508120	TNK1	TRIM23	MCTS1	AASDH	LOC728739
SSUH2	DLG5-AS1	KIAA1958	TLK2	HOXD-AS2	ABHD3	ARMC7	SH3RF1
LRRTM2	CDC42EP1	LOC100506134	WRN	CORO2B	MFAP1	FMNL1	ROM1
PAM16	CCNB2	CCM2L	FCHO1	IRF1	EFHD2	FXYD6	SRRM2-AS1
GCSH	ZFAT	VSIG8	MIR198	IP6K1	PCGF5	SLC25A42	TBC1D24
SUGT1P1	PET112	UBE2H	OXNAD1	C1orf52	DNAJC27-AS1	INTS8	NR0B1
ZNF365	TNPO2	OR8B3	TMEM66	MTMR10	DFFB	DOLPP1	KCNE4
CCDC15	REV1	C19orf60	PCLO	CCDC34	UNC13D	HIST1H3D	CLCC1
MPC2	TXNL4A	FLJ26850	C12orf5	ATP8B1	PCDH11X	TTC26	LOC100128682
SPAG5-AS1	SWT1	DRD1	GTF2IRD2B	TMEM67	SORL1	HSDL1	ICA1L
CNTN5	FAM3C	LOC100288974	ULK1	KCNJ15	GPATCH8	CCDC85C	MANEAL
SEMA3A	SIRT5	CFC1B	TIMD4	TRIM56	PTPRG-AS1	ABCA5	CRYBB2P1
VCX	TMEM45A	CAPN9	CCL7	FBXO31	TMEM220	CNTNAP3	ZYG11A
PIGZ	PLD1	SLC39A5	XRN1	SPIN2B	UTP23	RAVER1	CHST2
KALRN	LSM4	PPP5D1	AKAP10	CDC37L1	NXNL2	FAM219B	ITGB2-AS1
PHGDH	OGFOD2	LOC100500773	MBD4	SCG5	MAFB	EPHB6	LRRC8B
NEURL2	LOXL3	TSPAN11	ERMP1	L3MBTL1	TMEM213	USP21	PHOSPHO1
HTRA1	MLF1IP	JAG1	CT47A4	RAB39A	KIN	RBM12B-AS1	LINC00547
HIC2	CXCL5	LOC729852	CDKN1C	ARHGAP12	NANOG	NSD1	CBFA2T3
ANGEL1	ZRANB2	GDF5	LOC442028	DIS3	ATG4A	HSD17B7	TMEM64
RPL17-C18orf32	SETDB1	BEST4	MPP3	CCM2L	SLC37A4	KIAA0825	SBF2-AS1
GAP43	PCMTD2	IL36B	PKP2	RBM20	LOC100506241	NKRF	ZFP14
MIR548C	SNHG11	PIFO	AXIN2	RASL11A	MDM4	MYLIP	TULP2
ADCK4	LOC100131089	PP12613	HNRNPA2B1	EFS	FLJ39739	ZNF304	MCTS1
TRPC1	CCT6P3	IGFL1	OSBP2	ZDHHC3	SENP8	RAB11B-AS1	KCNAB1
MBLAC2	ACACA	TARM1	FLRT3	FCER1A	LOC100128682	SNORA31	JARID2
MRPL55	DZIP1	FBXO38	SLFN12L	SETD6	KCNA7	SHPRH	ZNF789
LINC00691	LOC257358	KCNA5	ZBTB1	GALM	KPNB1	ASH1L	KIAA1467
FAR2	FAM124A	R3HCC1	LINC00426	DHX38	TIGD1	ZNF574	NANOG
ARHGAP12	SORD	FRK	MIR3064	ATXN3L	IL1R2	SNORD12C	CNNM3
EEPD1	C2orf49	CLDN12	CCNYL1	TTC19	ZNF321P	C1RL-AS1	ZNF321P
KIFC3	IFI27L2	MIR5010	SNHG10	NPY1R	HAUS2	CWC27	SRRM1
UAP1L1	EGLN1	CACNG1	LDLRAD2	PFDN5	SRRM2-AS1	CCDC93	FXN
XIRP2	ZDHHC11	AOAH-IT1	KLRG1	MESDC2	LOC91948	NEK4	TRIM16L
HIBCH	DYNC2H1	ALDH3A2	UQCRB	ZNF287	HNRPLL	SLC7A6OS	TMEM192
TSR3	HERC2P4	COL4A2-AS1	KRTAP1-5	INPP5A	SAMD3	PPDPF	ZNF749
MYO1B	RNF20	FSIP2	CYP46A1	TINF2	C4orf19	FLJ33630	FAM76A
TRIM77	CLP1	TMEM244	PARG	KLHL23	GSTTP2	MBLAC2	RTN2
L3MBTL1	LOC728875	SNAR-A5	CNOT1	DUSP5	MZT2A	TRIP11	GSTTP2
SOGA2	ASNSD1	ALLC	TNKS	C15orf52	LINC00547	ZNF273	LOC100128398
PDRG1	LOC100132891	ZMIZ1-AS1	SARNP	OTOA	NUDT19	POU5F1P4	LHFPL1
CLEC3B	TAB1	CCDC177	FAM179A	C14orf37	LINC00514	AVIL	CYTIP
WNK3	NCAPG2	CPSF7	PLEKHG2	C1QTNF3-AMACR	TRIM16L	NUDT17	GSTM3
GBA2	ACLY	LOC100505933	MAPRE2	FMO1	PEX13	USP45	FAM74A1
C3orf55	NCAM1	TBC1D21	VPS9D1	LEPREL1	C2orf91	N4BP2	LOC100506688
OR2L13	MAD1L1	CATSPERG	RPS10-NUDT3	GLMN	YLPM1	MAML1	ZNF785
CYP4F35P	C2orf69	ZBBX	GLTPD1	TACR1	ZC3HAV1	RUFY2	N4BP1
CTDSPL	ELP4	ACER1	FLJ42393	HS3ST3A1	C6orf47	PPP1R13L	TOR1AIP2
BTBD2	NCKAP5L	MIR590	CCDC6	PARD6G-AS1	LINC00439	PTX3	BRCA1
SNORD116-19	ZNF134	PABPN1	NOX5	LINC00470	LOC100508120	YBEY	INIP
SNORD116-17	MAPK3	DEDD2	ZNF609	NGF	PI15	LOC100507091	ZNF596
CBWD2	RAD52	MRPL45	VCX3B	SLC6A12	ALG1	SCAF8	LOC100289341
MUC5B	JMJD8	LOC440563	NLGN4X	SCUBE3	SNN	ADCY10P1	METTL2A
RAB3GAP2	FBLN5	MYRF	ZNRD1-AS1	DOT1L	KLHL12	PTBP2	TCTA
SFXN4	MDC1	STARD6	TTC24	NINJ2	ARHGEF6	KIAA1328	HTATSF1P2
SRRM1	DHX8	MIR3654	TRIM16	GSPT1	GRIA4	NUP155	SLC39A3
ERC2-IT1	DPYSL3	PSMA7	MIR941-3	RPAP2	RRP7B	LINC00472	KREMEN1
CSRNP3	TFB1M	KDELR1	ABCD2	SLX1B-SULT1A4	FOXF1	ENC1	C16orf54
TIMMDC1	XPC	DCPS	SPHK2	SLX1A-SULT1A3	LRRIQ3	ADAMTS15	LOC344887
TEK	SIAE	MIR302A	TIGD5	TGFB2	ABHD11	PAGE2B	CHP1
LTBP2	CPOX	ABCA4	LFNG	PHEX	CASP6	WDR37	BRD7
ADAMTS5	SPARCL1	UNQ6494	C9orf116	FAM133B	LOC100505876	MZT1	SLC9A7P1
LOC613038	ZDHHC5	LINC00616	ZNF676	SIGLEC11	NOS2	RCOR3	CELF6
PCDH15	LOX	TOMM20	LINC00312	GLE1	ZNF264	DNM1	LOC100130231
SLC30A1	ATP10A	LPAR3	REP15	HIST2H2AC	ZNF814	SBDSP1	PPID
ECM2	KANK2	LOC100499194	RGS4	FGF2	RELT	ANAPC13	CTSF
TRIM36	FBXO18	EIF4G1	MAP1LC3B	CEACAM3	ST6GALNAC6	LINC00641	EXOC2
LECT2	TRIM37	FDCSP	AKNA	HNRNPA2B1	DPH3P1	TLCD2	HADHB
FOXP2	NACC2	WDR18	COLQ	FMO2	FAM129A	KIF9	MIR143HG
RNASEH1	ATP11C	FITM1	MMP12	OXTR	ZFP42	SLC10A1	KIAA0753
LATS2	HTRA2	OR52K1	TDRD10	ACAN	TMEM41B	PIGC	MORC2-AS1
KLHL32	FBXO11	CCDC68	RAB11FIP1	SEC62	RAB2B	GOLGA6C	POLR3H
HOXB6	ALG6	MYBPC3	SRSF7	NOVA1	C2CD4B	FASTKD3	EXOSC6
ZEB1-AS1	LEMD2	TBX4	ISM1	ZNF274	PNN	SPA17	DCUN1D2
USH2A	FHL1	RASD1	ARHGEF9	KEL	SLC37A1	NEO1	UTP23
DARC	CSNK2A1	PFDN4	PLAC4	XYLB	ANKRD44	ZNF136	HCG26
CCDC168	MBD3	ZNF735	CACNB3	FBXL7	ADAT1	LOC285626	VTRNA1-1
ROBO4	SLC9A7P1	KCNV1	ABP1	ALS2CL	C9orf85	NDC80	KDM4A-AS1
CLASRP	C7orf41	DAPL1	BMPER	S1PR3	SPATA13	TMTC1	P2RX5-TAX1BP3
LIMCH1	AAGAB	CYP1B1-AS1	CPSF6	IRF2	PTCHD4	PIK3CA	CCDC125
EIF5	NFRKB	SENP3	SMCR5	ZBED4	PARP8	PAFAH1B3	ITK
JPH1	SP1	COX8C	SPNS3	FCGBP	ARRDC1	IST1	ADARB2
CGREF1	SOD1	SERTAD4-AS1	ANKRD32	DPP4	SGTB	IL11RA	PEX26
RIN1	GINS3	DAOA-AS1	LPCAT4	STAC3	NARG2	RABL2A	TMEM41B
GLTPD1	INPP1	MIR4513	KLRB1	UBE2F	ZNF785	LUC7L	MTHFSD
PQBP1	SLCO4A1	SNORD58B	GABRP	OTUD1	BCL2L2-PABPN1	DENND4C	FUT2
ACOT7	KIF4A	LGALS9C	CEP290	CRYBB1	FAM74A1	KHK	FYN
ACACB	CHM	INSRR	NUP210	MYCL1	NINJ2	TNFAIP8L1	MED12
PGM1	UBE2E3	HOXA13	TMEM161B	MAP2K5	LOC731424	TMEM9B-AS1	FRMD6-AS1
ZNF559	WDR5	MEGF6	RPH3AL	NMNAT2	CROCCP2	MAP10	ARMC8
MTHFD2L	LOC283688	CLEC18C	ZNF518A	JDP2	MANEAL	GATM-AS1	PPM1K
DKFZp686O1327	DGAT1	IGSF9	ZNF322	ERI1	ZC3H12A	MBD1	LGSN
CLYBL	ANKRD52	TMEM59L	LOC285074	TM2D2	CNNM3	TUBB4B	LOC100506207
NT5C	ZNF133	MS4A14	MLLT3	CPSF2	NEURL1B	GORAB	RAB4B
SLC2A10	INTS4	TAF6L	SNTB1	SLFN11	ICA1L	ERN1	C5orf20
DIMT1	C8orf40	MRPS17	GCLC	VGLL3	MIR143HG	CARD17	ADAT1
INTS2	FOXM1	KIF2B	PPM1A	MTF1	WHAMM	ZFP62	FLJ30403
GOLGA6L9	CCL19	ZNF878	ZC3H18	DNAJC18	ZNF587	CMTM1	NUDT19
GP1BA	PWWP2A	ATXN7L3B	IL27RA	PTGER4	ZFP14	MRPL1	RAB2B
GLO1	CSTF2	CDSN	ZNF679	TBCC	FLJ43681	ZNF248	BCOR
GLRX2	LINC00115	MIR941-1	SNAP25	ADAMTS12	TRAF3IP2-AS1	UBE2I	UBIAD1
KCNK10	ZFHX3	MIR644A	CT47A8	ZNF135	LIMK1	ROCK2	C1orf210
CXCL14	PRICKLE2	TMEM126B	DTX3L	CSRNP2	RASGRP4	ZNF236	PEX13
PSG4	STX18	PRSS58	CACNB4	PLEKHA1	USP12	GAS1	ABHD11
LOC100498859	SORCS1	SLC22A2	ESM1	CSGALNACT2	FXN	MSH5	ALG1
GJA4	KDM3A	UBTF	LOC440354	PINLYP	FGD3	CACNA1I	EP300
SLC22A15	KIF18A	SNAR-A10	ADTRP	NKTR	KDM4A-AS1	NUP214	CSTF3-AS1
KANSL1L	ZP3	ASTL	TBC1D3B	PSME1	KLHDC8A	FAM216B	INCENP
USP22	CDR2L	MLEC	VPS54	CACNA1C	CASS4	SNORA8	CD69
LOC643723	AVPI1	KRT39	SLC16A14	TTC33	ADAMTSL2	HIRIP3	LOC284950
IRS2	ASPH	IZUMO4	CELF2	RPP38	CEACAM22P	C19orf12	PICK1
CLCN6	ZNF234	RGS7	PPP6R1	MYRIP	C4orf32	ZNF93	PCED1B-AS1
FOLH1	VCL	TMEM207	FAM151A	IL2RA	SAMD9L	PHF10	CLEC4F
SNRPE	ZNF492	RPS7P5	ASTL	RASGRP4	AQP6	CDK1	ENTPD1
PHLPP2	RPS6KA4	CABYR	NAALADL1	SMYD5	AFMID	MCCC1	HIF1A-AS2
HSD11B1	SMAD9	KCTD4	HHIP	FAM47E	SCARNA9	SETD9	IBA57
ZBTB21	CLIP4	LOC100128176	SLAMF1	JAK1	LOC100289341	BDKRB1	FLJ31662
CSE1L	NECAP1	NTN1	PDE4D	ALPK3	OST4	OR56B1	SCAI
LOC440895	GALK2	SCGB2A2	PDE9A	LMO7	PPM1A	SNORA12	LOC100505876
ZNF627	POLI	TAS2R41	EHBP1L1	PMS2L2	SAPCD1	EARS2	TFDP2
BAGE4	CAMK2N1	HIST1H2AL	LILRA4	LOC728190	LOC100131825	KLHL42	ZEB1-AS1
BTBD7	MYO1E	MCAM	C9orf91	TMOD2	LOC100505989	NFIX	AGPAT5
GNPTAB	CLPB	ADCK2	CLECL1	ZNF23	GPR64	SNORA44	RGAG4
RAD54B	COG8	GPRC5C	FAM86HP	ZNF565	GSDMA	GCDH	LOC727896
DUOXA1	MRPS7	MIR631	INHBB	KIAA1467	NUMBL	ADC	SGTB
C8orf40	ZNF12	PRDM10	CHST2	IRAK2	LOC100128398	C6orf141	NICN1
PPAP2A	HARS2	TMEM151A	SPOCD1	AFF1	CCDC125	C14orf28	DHRS1
ZNF521	MGP	PRSS33	TULP2	HAAO	LOC284950	ACER2	SLC10A7
CT49	MAGEC1	WASL	ROR2	HLA-J	LOC727896	ORC2	C9orf85
LOC100131096	ACVR2A	RBPJL	C10orf32	UNC13A	LOC440434	DSCC1	1-Sep
KLHL4	TMEM67	LOC100130075	RNF167	SMAP2	C1orf210	H6PD	ANKFY1
CYB561	PP7080	CASP12	DENND2A	MAN1C1	C1orf204	LOC338817	DPH3P1
CCDC93	MTRR	GPR150	IREB2	AGTPBP1	WRN	ADAMTS12	FAM73A
CYCSP52	COQ7	FOXD4L1	PHOSPHO1	MTSS1	LIPH	VPS39	LOC100505989
LOC643648	SRP9	SCGB2B2	WWP1	TFPI2	SLC38A9	WDR70	ZNF587
CLPB	DEPTOR	TMEM92	LAX1	PCGF5	DSC2	TRPM3	WHAMM
GALNT7	RPS19BP1	MBD5	HNRNPL	ESCO1	GPBP1L1	LOC100286793	NARFL
ELOVL2	MRPL47	CRYBA2	LRBA	LIN7A	ZFP36L2	RRN3P1	RFPL3S
RPP38	IFLTD1	GALNT5	GLDN	GRHL1	FAM73A	HERPUD2	AP5S1
LONP1	MIER3	C20orf195	CACHD1	SIGLEC16	APOL6	PIGB	PTCHD4
SLC9A3R2	NUP50	C4BPB	CCRN4L	C10orf32	C16orf72	PITPNM2	HIST1H2AH
IPW	KIF13B	TMEM147	CT47A5	FAM86C2P	TRIM21	NOVA1	GSDMA
FAM182A	TMEM141	CABP7	ENPEP	FLJ27352	CD1D	FLJ41200	ADAP1
GTF2IRD2B	GLT8D2	SERPINA13P	MBD2	CCL4L1	SLC25A15	MSTO2P	SLAMF6
IRGM	GTF2IRD2	ANP32C	CT47A3	CCL4L2	FUT2	ADAMTS9-AS2	LOC401010
EML1	GPR141	DCAF8L1	S100PBP	EPOR	ADAMTS6	LOC100506801	TMEM63A
PPP6C	DPYSL5	ZNF837	C9orf66	PRTFDC1	ATHL1	EMID1	DHFRL1
HSPD1	SSBP4	LOC285419	CLEC4F	SLED1	SCAI	AAGAB	CARD8
MYCT1	SMIM5	JSRP1	ABHD8	CPNE2	SLC30A3	MYLK-AS1	CD3EAP
SMOC2	SLC25A42	ANHX	CFHR1	APOL4	GLUD1P7	STAMBP	LOC286186
GALE	WWC1	ACTL8	KLRC1	ARL11	VAV1	LINC00341	CEACAM22P
FADS2	C11orf71	MIR1914	SPINK5	RAD50	HAAO	RC3H2	RUNX2
CPZ	WDR18	SBNO2	ATG4A	ANKRD65	COL23A1	NUP205	LOC151475
NANP	SNX19	GPR108	C12orf49	FAM72B	HBS1L	PRPF40B	EXOSC2
CHAF1A	FEM1C	MIR664	C5orf20	MTRF1	UBASH3A	RASL12	MOSPD1
ALG1L	UBE2Z	SPATA24	SPATA24	TLE6	ULK1	LINC00461	BPNT1
LPHN2	UXS1	ANKFY1	CD226	CTAG1A	P2RY11	ZNF737	SLC37A1
FAM104B	SEC14L2	OR9I1	PSG5	CTAG1B	GPR132	ALKBH8	LOC389641
SLC38A10	FLJ41200	OR52M1	TBC1D10C	DLEU7	PPARD	HRSP12	PABPC1P2
TMEM87B	TSG101	SLC51B	LYNX1	PCDH15	LOC100506688	C11orf68	JMJD7
MOBP	COG5	CDK17	C16orf54	IFNGR1	PTMA	RNF24	CRTAM
STK19	B4GALT6	EFCAB3	NUP153	NDUFAF5	CD3EAP	CENPF	GAREM
SIRT1	PARP3	KRTAP5-4	MCOLN2	B9D2	PTPLAD2	RPSAP52	AQP6
DDHD2	PPIE	CYP11A1	UBR1	BPNT1	SMIM17	NFYA	IKBKB
KCNJ14	EXOC4	MIR4721	RUFY4	PACSIN3	FLJ30403	LOC100128420	LINC00526
RNF217	MEX3C	FBXO39	PPP2R2B	ANKRD20A5P	WIPF1	ANKRD36BP2	CHST13
C19orf48	C1orf106	LTBP1	MSL3	ZNF14	ZNF613	MARK3	AP5M1
LPHN3	SLC35G2	GDF7	C10orf76	RETN	SLFN12	KIAA0319L	IFNLR1
AQP7P3	ZNF839	PRAMEF9	HIST1H2AD	PLEK2	TFDP2	MON2	FAM161A
LRRC39	COQ10A	DDX23	GLT1D1	DAPP1	MAPK4	LAMC2	RPS6KA3
ITGBL1	ZNF618	GAGE7	SP4	LOC654342	TTTY14	LMOD1	TTN-AS1
ZBTB42	OLFM2	HSD11B2	RBM25	CDKN2D	GCLM	SPAG8	PPIEL
PRMT6	DOK1	SLC25A44	CAB39	CASP12	LOC283663	DOPEY2	EYA1
GALNT3	RARS	TMEM178A	ALG10	CDK5R1	PABPC1P2	BEND4	GLT1D1
VBP1	LOXL2	MIR98	GRK5	ARHGAP28	LOC151475	KCTD7	TTC39C
STON1	TMEM52B	VPS13A	ZCCHC2	TMEM200A	CD79B	A1BG	AFMID
LYRM5	ARL6IP6	RGS9	TRAPPC9	WARS2	MAPKAP1	LOC79015	ARGFX
BDKRB2	CCNF	RANGRF	PAG1	ASTN1	CEP41	C1orf51	HSD17B4
IGFBP6	LOC439994	RNASEH2B-AS1	GSPT1	WFDC1	UTP11L	RAB23	SFPQ
HOTAIR	LOC646762	MIR3661	ZNF707	SHOC2	GNG2	RBCK1	VAPB
C21orf37	GTF3C5	AK8	SKP2	RNF141	FLJ31662	MTDH	HNF1A-AS1
ZNF595	CHN1	PLGLB2	COL18A1	ADAMTS9-AS2	ZNF442	TPRG1L	FLJ42102
CYB5RL	DDOST	ZACN	RAPGEF6	HMGB1	NUAK2	PIBF1	RPS10P7
LCAT	RRP36	RHOQ	C16orf93	TRAF2	PARP14	GGCX	XAB2
PLVAP	BRD7	CAB39	HS6ST1	TMPPE	TAPBP	GSG2	LOC100130451
WDR77	PI4K2B	CETN3	TFEB	MIDN	FRMD6-AS1	C17orf66	CA9
FUT6	FRYL	ZNF157	M1AP	NPR3	ARL11	AKAP1	TLE6
GPRC5C	PREPL	TAS2R16	APOL4	JAM2	HSCB	USP14	PARD6G
GEN1	KIFC3	GLIS3-AS1	LOC642361	BATF3	RBM25	NPR3	C14orf132
SFRP2	STRA6	HDC	GAGE4	C1QTNF5	P2RY2	POLG2	PAK4
PCDHB6	DGCR14	HEXA	L3MBTL4	MFRP	FLT1	PA2G4P4	RUFY4
CILP	TMEM128	SOX1	GLIS3	TNNT3	DCUN1D2	PRKAA1	GLUD1P7
SLC29A3	NLRC4	ZBTB17	ADRA2B	TSPAN17	PPIEL	INPP4A	CYP1A2
PSAT1	FLRT2	SPRYD3	CHST13	ACD	CYB5R4	GNB1L	RGS14
NAT9	RCAN3	TBC1D3P2	DENND1C	CDC27	CD28	TNR	LOC100506746
SLPI	EPT1	HDAC10	CD99P1	TRADD	TESPA1	MCM3AP	COX18
TBC1D26	CHMP6	MIR523	MECOM	RGS1	PLEKHG2	ATG9B	LOC728558
SLC12A2	TRIM26	SH3BP1	DEFB1	OR2B11	CUEDC1	CNTNAP1	OTOA
FLJ44635	HABP4	ASCL1	ACAP2	TPMT	PARD6G	BIVM	DEFB1
TLL2	KIAA1199	BOK-AS1	TESPA1	HSPBAP1	GIMAP1	C14orf93	CEP41
MCM4	EMG1	LYZL4	CT47A2	TWIST2	BTN3A2	SEPHS1	SLC6A17
ALS2	KNSTRN	MIR1236	LOC100653515	DHX36	NFKBID	MYOT	RABL5
LINC00516	SALL4	CXADRP2	DSEL	CAPN10	IBA57	ZSCAN16	NKX2-5
LOC101101776	DHX34	ARL10	USP4	NFIX	FCGR3B	MKL2	HAUS3
PGM5	COPS2	THRB-AS1	RELL2	NUDT4	HLA-E	FASTKD5	SPOPL
LOC100506136	BET1L	MIR367	PTBP3	FTSJD1	CSTF3-AS1	POLR3F	PPARGC1A
CAMK2G	TMEM121	CDYL2	TMCC3	SLC22A23	EXOSC6	SMAD9	STT3B
AMDHD1	UBE2H	HSPA9	TNIP3	SH3BP2	FAM157B	HTR3A	VPS13A
OR4C12	RDH14	RGS13	SERPINB2	TRIM14	LOC286186	AP4S1	SLC25A15
CDON	SIK2	MN1	PDE10A	DCPS	ELL	TAOK1	KCNJ5
FAM9A	COL11A2	PFDN2	MLEC	LDB3	C19orf73	PDE5A	CTLA4
SLC16A5	DKK3	NCBP2	NUP98	SCRIB	EAF2	EDC4	UCKL1-AS1
DHRS13	SH2D4A	OR10V1	EXOC3L4	CAMK2G	HACE1	PHF8	SMIM17
JMJD1C-AS1	EDF1	ZNF784	GRAP2	R3HDM2	LOC338758	QRICH2	ORC6
TRIL	PBRM1	PGA5	AKAP6	LAMA3	SLC2A6	MAST2	RALGAPB
SLCO2A1	LRRC3	ASPDH	SNORA70G	ETV7	NMT2	LOC389906	OPA3
WISP3	SNX30	GATSL3	LIPG	UPF1	TLR7	C14orf37	ETAA1
NODAL	NHEJ1	LOC619207	C2CD2L	CAMTA2	HSD17B2	TCL6	SNORD104
TMEM181	EGR3	ZSCAN5B	LOC100272228	MAPKAPK5-AS1	TMEM35	LOC400043	ZNF195
LDB3	IFT20	SEMA5B	PI15	GPR68	IL7R	TNKS2	NMT2
ADM5	MYO10	YTHDF3	PHF21A	KIF23	PAXBP1-AS1	OBFC1	IL7R
LPGAT1	WDR70	LOC100506388	NAF1	ORAOV1	LTB	ANKRD35	HSD17B7
GID4	PKD1	LOC100132831	APOBEC3H	SRSF11	SCLT1	ZNF626	BRWD1-IT2
DNALI1	TRPM1	CCNY	TOX2	PXDC1	LOC100130451	SSC5D	EPHA10
BRAT1	ZNF704	KCTD19	DEPDC5	SAMD14	UCKL1-AS1	TACC2	PPIL6
PRRT3	AFG3L2	MIR943	CDKN1B	SCAND1	FLJ42102	LOC100127983	TIFA
REV3L	HCG25	TTLL9	ARG1	ZNF416	ZNF267	CNTROB	CCDC152
UQCRHL	SLC25A32	PITX1	ST7-OT3	TSHZ3	PTCSC3	FBXW7	URI1
CCDC127	SDC3	MIR1279	SUN2	SNTB2	COX18	BBS12	C4orf26
FAR1	APC	MIR593	MAPK10	KCTD3	LIMD2	PAR-SN	LOC100190986
WBSCR22	BRAT1	MIR3918	TTF1	CD1B	RNF166	FAM216A	CHRNB1
AFAP1	ZFR	C8orf12	DGKH	OSBPL6	ETS1	IMMP1L	PTCSC3
ACP6	CHI3L1	ZNF689	EPB41L1	ANKRD36BP2	TRAF5	ZNF687	SP2
SNORA53	TRIP10	GNPTG	WDFY3-AS2	JRK	ARHGAP27	LOC283922	LARS2-AS1
LOC400043	TSPAN2	APOC3	POPDC2	CERS6-AS1	SEC14L4	VIPR1	SH2D2A
LOC100129858	MRPL37	NGF	CIC	ZNF790-AS1	LAX1	INVS	C19orf57
SLC16A1	BAG6	MEIS1-AS3	ORM1	ADCY3	7-Sep	SLC25A22	ARRDC2
NFIB	ANKRD35	CCL17	ZC3HAV1L	TST	VSTM4	KCTD17	GCLM
SMCR7L	TIMM13	ASCL2	BCL11B	PILRB	PLD6	RBM12B	TRAT1
MCM7	RAB11B	FUT3	SMIM12	KNTC1	FFAR2	ATG2B	RECQL4
CYP4F30P	CHMP4C	TRIM33	KIAA0513	GZF1	GPRIN3	ZNF697	PHRF1
FLNC	HDAC11	CLEC12B	SNORA67	MEIS3	TMC8	CDKN2B	ZNF516
DUSP15	MAGEH1	SH2D5	ARL13B	ZNF143	UGGT1	SPTSSA	SLC5A5
C11orf68	ZNF319	CAMK2B	HESX1	CLDN1	PPIL6	TROAP	RHOF
IPO5	COG7	INO80D	ATP6AP1L	ASXL1	SOS1	CAD	KLHDC7B
ISLR	CDIP1	TAS2R8	LOC440895	HDHD2	ABCA10	ZNF45	SIT1
WRNIP1	RUFY1	GABBR2	ARHGEF1	IL1A	CYP1A2	FAM193B	UTP11L
PARVA	CEP85	IFNL1	UBA7	SNF8	DTX3L	GPR1	MBD6
HSPB8	LOC100288842	LINC00536	SLC38A4	IL17RA	OPA3	UPRT	VSTM4
HKDC1	KIAA1107	SNAR-A6	DYRK1B	SUSD2	ORC6	ANKRD20A1	MARVELD3
LRTM2	GPD1L	CGB8	ASB8	RAB4A	SNIP1	DNM1L	UGGT1
HIST1H4E	C9orf114	SNORD58A	GRASP	MIR181A2HG	P2RX5-TAX1BP3	GUSBP4	RCBTB2
ELN	FAM188A	THAP2	STEAP1B	TAL1	HAUS3	KIF27	RASAL2-AS1
CLCN5	DIABLO	IFT20	PRRT2	SHPK	ARL13B	DNMBP	DHRS4-AS1
WDR46	ZNF605	RASL11B	CT47A12	MIS18BP1	BANK1	CCDC41	GATAD1
TERF1	LARP6	LOC339524	SIGLEC8	GPR157	RABL5	ASB16-AS1	NUDC
ERMAP	SMARCA4	HMSD	CCDC64	C1orf213	EPHA10	TYSND1	PAXBP1-AS1
HSPA2	MIRLET7DHG	OR5I1	TNFRSF18	PTPRU	GPR35	TRMT2B	IL13RA2
CA6	ENTPD6	STK31	KLHDC7B	ZSCAN18	CTCFL	CADPS2	SNIP1
ZNF596	C4orf46	H2AFB2	ZNF17	ZG16B	RASAL2-AS1	C12orf74	ZNF713
EIF3B	HID1	SUCLA2	ULK3	DGAT2	CRY2	ANAPC1P1	DZIP1L
